"Story","Title","Result","Date","Stability","Duration (s)"
"Navigation runner","Should be able to navigate to the fashion products","SUCCESS","2019-03-20T20:14:23.34+04:00[Asia/Muscat]","0.0","19.48"
"Navigation runner","Should be able to navigate to the motors products","SUCCESS","2019-03-20T20:14:42.861+04:00[Asia/Muscat]","0.0","7.36"
